date,description,amount,currency,balance
2026-03-15,Fee,-2000,GBP,19000
2026-02-07,Inbound transfer,250,GBP,19250
2026-01-05,Interest payment,-80,GBP,19170
2026-02-04,Fee,1500,GBP,20670
2026-01-13,Investment receipt,-80,GBP,20590
2026-03-21,Interest payment,-120,GBP,20470
2026-03-22,Inbound transfer,250,GBP,20720
2026-01-03,Card payment,-80,GBP,20640
2026-02-03,Investment receipt,-80,GBP,20560
2026-03-19,Interest payment,5000,GBP,25560
2026-01-13,Inbound transfer,1500,GBP,27060
2026-02-06,Investment receipt,-120,GBP,26940
2026-02-17,Interest payment,250,GBP,27190
2026-02-20,Standing order,1500,GBP,28690
2026-03-04,Standing order,250,GBP,28940
