date,description,amount,currency,balance
2026-03-01,Interest payment,-2000,GBP,10000
2026-01-08,Inbound transfer,-2000,GBP,8000
2026-03-22,Standing order,5000,GBP,13000
2026-03-15,Inbound transfer,5000,GBP,18000
2026-03-17,Investment receipt,1500,GBP,19500
2026-01-14,Fee,-120,GBP,19380
2026-02-03,Inbound transfer,-2000,GBP,17380
2026-01-25,Card payment,250,GBP,17630
2026-01-03,Interest payment,-2000,GBP,15630
2026-01-17,Standing order,1500,GBP,17130
2026-01-15,Standing order,-120,GBP,17010
2026-02-12,Card payment,250,GBP,17260
2026-02-14,Standing order,-80,GBP,17180
2026-02-01,Fee,250,GBP,17430
2026-03-07,Fee,-2000,GBP,15430
