date,description,amount,currency,balance
2026-02-08,Inbound transfer,250,GBP,14250
2026-01-18,Card payment,5000,GBP,19250
2026-01-27,Interest payment,250,GBP,19500
2026-01-25,Standing order,-80,GBP,19420
2026-02-06,Investment receipt,-2000,GBP,17420
2026-02-25,Interest payment,250,GBP,17670
2026-03-08,Investment receipt,-2000,GBP,15670
2026-02-04,Investment receipt,250,GBP,15920
2026-02-01,Inbound transfer,-120,GBP,15800
2026-01-03,Inbound transfer,250,GBP,16050
2026-01-15,Inbound transfer,-2000,GBP,14050
2026-02-26,Investment receipt,1500,GBP,15550
2026-02-21,Standing order,1500,GBP,17050
2026-02-04,Card payment,1500,GBP,18550
2026-01-17,Fee,250,GBP,18800
