date,description,amount,currency,balance
2026-03-25,Inbound transfer,250,GBP,19250
2026-02-02,Inbound transfer,1500,GBP,20750
2026-03-26,Card payment,-80,GBP,20670
2026-01-26,Fee,-2000,GBP,18670
2026-01-06,Fee,1500,GBP,20170
2026-03-14,Card payment,-2000,GBP,18170
2026-03-16,Card payment,-2000,GBP,16170
2026-02-03,Investment receipt,-80,GBP,16090
2026-01-18,Inbound transfer,-2000,GBP,14090
2026-03-18,Card payment,-80,GBP,14010
2026-03-26,Inbound transfer,5000,GBP,19010
2026-02-28,Inbound transfer,5000,GBP,24010
2026-02-26,Fee,5000,GBP,29010
2026-01-14,Standing order,250,GBP,29260
2026-01-10,Standing order,-120,GBP,29140
